repetition, trial, tTest, response, mode_mean, mode_sd
6,7,-2.140000,1,-2.540505,0.603220
6,8,-2.300000,0,-1.885032,0.569382
6,9,-2.120000,0,-1.647398,0.631068
6,10,-1.970000,1,-1.747465,0.563895
6,11,-2.020000,1,-1.830613,0.498891
6,12,-2.050000,1,-1.900254,0.435726
6,13,-2.070000,1,-1.958026,0.375691
6,14,-2.090000,1,-2.004905,0.321528
6,15,-2.100000,1,-2.043114,0.273156
6,16,-2.120000,1,-2.073769,0.233313
6,17,-2.130000,1,-2.098992,0.200616
6,18,-2.140000,0,-2.022713,0.259946
6,19,-2.100000,1,-2.049744,0.218656
6,20,-2.110000,1,-2.071392,0.184043
6,21,-2.120000,1,-2.088949,0.155723
6,22,-2.130000,1,-2.103459,0.133049
6,23,-2.130000,1,-2.115739,0.114643
6,24,-2.140000,1,-2.126287,0.100612
6,25,-2.150000,1,-2.135572,0.090155
6,26,-2.150000,0,-2.101794,0.110706
6,27,-2.130000,1,-2.111481,0.096229
6,28,-2.130000,0,-2.077890,0.126941
6,29,-2.110000,1,-2.088618,0.108426
6,30,-2.110000,1,-2.097733,0.093582
6,31,-2.120000,1,-2.105610,0.082273
6,32,-2.120000,1,-2.112552,0.073439
6,33,-2.130000,1,-2.118793,0.066828
6,34,-2.130000,0,-2.095257,0.080711
6,35,-2.110000,1,-2.101864,0.071863
6,36,-2.120000,1,-2.107788,0.065245
6,37,-2.120000,0,-2.085668,0.079338
6,38,-2.100000,1,-2.091999,0.070503
6,39,-2.110000,0,-2.069705,0.088530
6,40,-2.090000,1,-2.076600,0.077417
7,1,-1.000000,1,-1.356632,1.241629
7,2,-1.220000,1,-1.664935,1.134353
7,3,-1.420000,1,-1.915658,1.008054
7,4,-1.610000,1,-2.116555,0.884966
7,5,-1.790000,1,-2.280174,0.775375
7,6,-1.970000,0,-1.403571,0.754751
7,7,-1.780000,1,-1.538833,0.689456
7,8,-1.830000,1,-1.655753,0.623962
7,9,-1.870000,1,-1.755874,0.563714
7,10,-1.890000,1,-1.842199,0.509757
7,11,-1.920000,1,-1.916352,0.469650
7,12,-1.930000,1,-1.980952,0.440520
7,13,-1.950000,1,-2.038938,0.425100
7,14,-1.960000,1,-2.091709,0.419300
7,15,-1.980000,0,-1.853338,0.307420
7,16,-1.930000,1,-1.886014,0.261760
7,17,-1.940000,1,-1.912276,0.225574
7,18,-1.950000,1,-1.933842,0.198895
7,19,-1.960000,1,-1.952123,0.181262
7,20,-1.970000,1,-1.968232,0.171814
7,21,-1.980000,1,-1.983035,0.169407
7,22,-1.990000,1,-1.997227,0.172812
7,23,-1.990000,1,-2.010917,0.179730
7,24,-2.000000,1,-2.024904,0.190368
7,25,-2.010000,1,-2.039674,0.204118
7,26,-2.010000,1,-2.054908,0.219132
7,27,-2.020000,1,-2.071653,0.236463
7,28,-2.020000,0,-1.988634,0.079939
7,29,-2.000000,1,-1.995275,0.078498
7,30,-2.010000,1,-2.001638,0.078785
7,31,-2.010000,0,-1.976381,0.066843
7,32,-1.990000,1,-1.982175,0.062445
7,33,-1.990000,1,-1.987535,0.059075
7,34,-2.000000,0,-1.966894,0.064261
7,35,-1.980000,0,-1.944839,0.076218
7,36,-1.960000,1,-1.950991,0.068419
7,37,-1.970000,1,-1.956576,0.062608
7,38,-1.970000,1,-1.961693,0.058107
7,39,-1.970000,1,-1.966415,0.054608
7,40,-1.980000,1,-1.970854,0.051942
8,1,-1.000000,1,-1.356632,1.241629
8,2,-1.220000,1,-1.664935,1.134353
8,3,-1.420000,1,-1.915658,1.008054
8,4,-1.610000,1,-2.116555,0.884966
8,5,-1.790000,1,-2.280174,0.775375
8,6,-1.970000,1,-2.418984,0.682096
8,7,-2.140000,1,-2.540505,0.603220
8,8,-2.300000,0,-1.885032,0.569382
8,9,-2.120000,0,-1.647398,0.631068
8,10,-1.970000,1,-1.747465,0.563895
8,11,-2.020000,1,-1.830613,0.498891
8,12,-2.050000,1,-1.900254,0.435726
8,13,-2.070000,1,-1.958026,0.375691
8,14,-2.090000,1,-2.004905,0.321528
8,15,-2.100000,0,-1.883407,0.418868
8,16,-2.050000,1,-1.935058,0.359256
8,17,-2.060000,1,-1.976830,0.304303
8,18,-2.070000,1,-2.010025,0.255693
8,19,-2.080000,0,-1.921779,0.347749
8,20,-2.040000,1,-1.960476,0.293292
8,21,-2.050000,0,-1.863970,0.394061
8,22,-2.010000,1,-1.909362,0.334440
8,23,-2.020000,1,-1.945067,0.281079
8,24,-2.030000,0,-1.856304,0.380289
8,25,-1.990000,1,-1.898921,0.320898
8,26,-2.000000,1,-1.932039,0.268501
8,27,-2.010000,1,-1.957621,0.223756
8,28,-2.020000,0,-1.890948,0.309164
8,29,-1.990000,0,-1.796795,0.414451
8,30,-1.960000,1,-1.843124,0.353258
8,31,-1.960000,1,-1.880306,0.296195
8,32,-1.970000,1,-1.908853,0.246890
8,33,-1.980000,1,-1.930787,0.205451
8,34,-1.980000,1,-1.948068,0.170191
8,35,-1.990000,1,-1.961615,0.141882
8,36,-2.000000,1,-1.972512,0.119472
8,37,-2.000000,1,-1.981580,0.101349
8,38,-2.010000,1,-1.989237,0.087432
8,39,-2.010000,1,-1.995887,0.076484
8,40,-2.010000,1,-2.001749,0.068007
9,1,-1.000000,1,-1.356632,1.241629
9,2,-1.220000,1,-1.664935,1.134353
9,3,-1.420000,1,-1.915658,1.008054
9,4,-1.610000,1,-2.116555,0.884966
9,5,-1.790000,1,-2.280174,0.775375
9,6,-1.970000,0,-1.403571,0.754751
9,7,-1.780000,1,-1.538833,0.689456
9,8,-1.830000,1,-1.655753,0.623962
9,9,-1.870000,1,-1.755874,0.563714
9,10,-1.890000,1,-1.842199,0.509757
9,11,-1.920000,1,-1.916352,0.469650
9,12,-1.930000,1,-1.980952,0.440520
9,13,-1.950000,1,-2.038938,0.425100
9,14,-1.960000,1,-2.091709,0.419300
9,15,-1.980000,1,-2.142874,0.422433
9,16,-1.990000,1,-2.192215,0.429567
9,17,-2.000000,1,-2.240435,0.438406
9,18,-2.010000,1,-2.287907,0.447206
9,19,-2.020000,1,-2.334706,0.454746
9,20,-2.030000,1,-2.380674,0.460249
9,21,-2.040000,1,-2.425483,0.463295
9,22,-2.050000,0,-2.020801,0.171539
9,23,-2.020000,1,-2.035420,0.178152
9,24,-2.020000,1,-2.049730,0.187232
9,25,-2.030000,1,-2.064554,0.199229
9,26,-2.040000,1,-2.080332,0.213723
9,27,-2.040000,0,-2.004593,0.085242
9,28,-2.020000,1,-2.012201,0.081691
9,29,-2.020000,1,-2.019269,0.079811
9,30,-2.030000,1,-2.026010,0.079614
9,31,-2.030000,1,-2.032413,0.080520
9,32,-2.040000,1,-2.038681,0.082731
9,33,-2.040000,1,-2.044755,0.085761
9,34,-2.050000,1,-2.050853,0.089997
9,35,-2.050000,1,-2.056885,0.094949
9,36,-2.060000,1,-2.063105,0.101172
9,37,-2.060000,1,-2.069395,0.108099
9,38,-2.070000,0,-2.041366,0.053271
9,39,-2.050000,0,-2.023200,0.051792
9,40,-2.030000,1,-2.027507,0.050233
10,1,-1.000000,1,-1.356632,1.241629
10,2,-1.220000,1,-1.664935,1.134353
10,3,-1.420000,1,-1.915658,1.008054
10,4,-1.610000,1,-2.116555,0.884966
10,5,-1.790000,1,-2.280174,0.775375
10,6,-1.970000,1,-2.418984,0.682096
10,7,-2.140000,1,-2.540505,0.603220
10,8,-2.300000,0,-1.885032,0.569382
10,9,-2.120000,0,-1.647398,0.631068
10,10,-1.970000,1,-1.747465,0.563895
10,11,-2.020000,1,-1.830613,0.498891
10,12,-2.050000,1,-1.900254,0.435726
10,13,-2.070000,1,-1.958026,0.375691
10,14,-2.090000,1,-2.004905,0.321528
10,15,-2.100000,1,-2.043114,0.273156
10,16,-2.120000,1,-2.073769,0.233313
10,17,-2.130000,1,-2.098992,0.200616
10,18,-2.140000,1,-2.120054,0.175076
10,19,-2.150000,1,-2.138046,0.156335
10,20,-2.160000,0,-2.077101,0.185179
10,21,-2.120000,0,-2.011923,0.254668
10,22,-2.090000,1,-2.037340,0.213883
10,23,-2.100000,0,-1.970368,0.290512
10,24,-2.060000,0,-1.875916,0.390221
10,25,-2.020000,1,-1.920795,0.331026
10,26,-2.030000,1,-1.956054,0.278110
10,27,-2.040000,1,-1.983481,0.232427
10,28,-2.050000,0,-1.912632,0.318949
10,29,-2.020000,1,-1.945163,0.268100
10,30,-2.030000,1,-1.970476,0.224462
