repetition, trial, tTest, response, quantile_mean, quantile_sd
7,1,-0.647661,1,-1.323926,1.216125
7,2,-1.106588,1,-1.620842,1.117931
7,3,-1.474511,1,-1.884288,1.012953
7,4,-1.776842,1,-2.115703,0.908826
7,5,-2.034154,1,-2.316118,0.807871
7,6,-2.251309,1,-2.489290,0.713671
7,7,-2.437984,0,-1.842333,0.703598
7,8,-1.958917,0,-1.244781,0.799472
7,9,-1.392568,1,-1.424669,0.684491
7,10,-1.556113,1,-1.560769,0.577240
7,11,-1.655642,1,-1.662616,0.482271
7,12,-1.724943,1,-1.739016,0.400472
7,13,-1.775196,1,-1.797249,0.334948
7,14,-1.814720,1,-1.842532,0.281685
7,15,-1.846076,1,-1.879078,0.241670
7,16,-1.872769,1,-1.909209,0.211301
7,17,-1.895466,1,-1.935366,0.190364
7,18,-1.915855,0,-1.825201,0.213967
7,19,-1.838124,1,-1.848883,0.178526
7,20,-1.855244,1,-1.868048,0.151249
7,21,-1.870065,1,-1.883932,0.130113
7,22,-1.882828,1,-1.897413,0.114161
7,23,-1.894157,1,-1.909140,0.102429
7,24,-1.904363,1,-1.919584,0.094030
7,25,-1.913690,1,-1.929087,0.088204
7,26,-1.922328,1,-1.937899,0.084349
7,27,-1.930425,1,-1.946209,0.082014
7,28,-1.937995,1,-1.954165,0.080887
7,29,-1.945213,1,-1.961889,0.080765
7,30,-1.952177,1,-1.969257,0.081221
7,31,-1.958726,1,-1.976567,0.082464
7,32,-1.965036,1,-1.983913,0.084466
7,33,-1.971265,1,-1.991115,0.086841
7,34,-1.977162,1,-1.998507,0.089943
7,35,-1.983018,1,-2.005862,0.093344
7,36,-1.988684,1,-2.013565,0.097471
7,37,-1.994302,1,-2.021338,0.101828
7,38,-1.999852,1,-2.029634,0.106908
7,39,-2.005369,1,-2.038596,0.112732
7,40,-2.011077,1,-2.047842,0.118662
8,1,-0.647661,1,-1.323926,1.216125
8,2,-1.106588,1,-1.620842,1.117931
8,3,-1.474511,1,-1.884288,1.012953
8,4,-1.776842,1,-2.115703,0.908826
8,5,-2.034154,1,-2.316118,0.807871
8,6,-2.251309,1,-2.489290,0.713671
8,7,-2.437984,0,-1.842333,0.703598
8,8,-1.958917,1,-1.983644,0.597128
8,9,-2.075849,1,-2.090881,0.503524
8,10,-2.150627,1,-2.172133,0.423798
8,11,-2.203661,1,-2.234353,0.359045
8,12,-2.244262,0,-2.000679,0.471680
8,13,-2.093906,1,-2.071229,0.386567
8,14,-2.131794,0,-1.843340,0.554419
8,15,-1.983300,1,-1.934754,0.456173
8,16,-2.031798,0,-1.657650,0.642084
8,17,-1.835706,1,-1.776983,0.534514
8,18,-1.910468,1,-1.861477,0.438932
8,19,-1.952042,0,-1.603286,0.626344
8,20,-1.782927,1,-1.716648,0.518975
8,21,-1.846438,1,-1.795583,0.426015
8,22,-1.882777,0,-1.552719,0.614565
8,23,-1.732712,1,-1.661462,0.508288
8,24,-1.789462,1,-1.736896,0.416022
8,25,-1.822127,1,-1.789842,0.337425
8,26,-1.844245,1,-1.827329,0.272381
8,27,-1.860844,1,-1.854262,0.220518
8,28,-1.874094,1,-1.874291,0.179092
8,29,-1.885204,1,-1.889666,0.147647
