repetition, trial, tTest, response, mean_mean, mean_sd
3,34,-1.940486,1,-1.953012,0.113052
3,35,-1.953012,1,-1.966124,0.117474
3,36,-1.966124,1,-1.980361,0.122602
3,37,-1.980361,1,-1.995316,0.127850
3,38,-1.995316,1,-2.011532,0.133703
3,39,-2.011532,1,-2.028511,0.139520
3,40,-2.028511,1,-2.046815,0.145836
4,1,-1.000000,1,-1.356632,1.241629
4,2,-1.356632,1,-1.677173,1.147428
4,3,-1.677173,1,-1.955802,1.037306
4,4,-1.955802,1,-2.194634,0.924403
4,5,-2.194634,0,-1.371991,0.887522
4,6,-1.371991,1,-1.566999,0.745941
4,7,-1.566999,1,-1.709634,0.617506
4,8,-1.709634,1,-1.814317,0.511488
4,9,-1.814317,1,-1.893180,0.428550
4,10,-1.893180,1,-1.955140,0.366922
4,11,-1.955140,1,-2.006415,0.324192
4,12,-2.006415,1,-2.050492,0.296009
4,13,-2.050492,1,-2.089824,0.279655
4,14,-2.089824,1,-2.126690,0.273808
4,15,-2.126690,1,-2.163147,0.277209
4,16,-2.163147,1,-2.200315,0.287251
4,17,-2.200315,1,-2.240986,0.304496
4,18,-2.240986,1,-2.287745,0.327837
4,19,-2.287745,0,-2.130674,0.138212
4,20,-2.130674,0,-2.052406,0.158718
4,21,-2.052406,0,-1.961611,0.218145
4,22,-1.961611,1,-1.986291,0.179982
4,23,-1.986291,1,-2.006039,0.151046
4,24,-2.006039,1,-2.022274,0.128834
4,25,-2.022274,1,-2.035866,0.111534
4,26,-2.035866,1,-2.047631,0.098609
4,27,-2.047631,1,-2.057954,0.088683
4,28,-2.057954,1,-2.067170,0.081085
4,29,-2.067170,0,-2.029820,0.094556
4,30,-2.029820,1,-2.039146,0.084432
4,31,-2.039146,0,-2.001295,0.105180
4,32,-2.001295,1,-2.011243,0.091716
4,33,-2.011243,0,-1.970797,0.121322
4,34,-1.970797,1,-1.981926,0.103411
4,35,-1.981926,1,-1.991314,0.089800
4,36,-1.991314,1,-1.999432,0.079538
4,37,-1.999432,1,-2.006609,0.071818
4,38,-2.006609,1,-2.013073,0.065989
4,39,-2.013073,1,-2.018904,0.061415
4,40,-2.018904,1,-2.024296,0.057897
5,1,-1.000000,1,-1.356632,1.241629
5,2,-1.356632,1,-1.677173,1.147428
5,3,-1.677173,1,-1.955802,1.037306
5,4,-1.955802,1,-2.194634,0.924403
5,5,-2.194634,1,-2.397219,0.814421
5,6,-2.397219,0,-1.694514,0.824371
5,7,-1.694514,1,-1.861512,0.682553
5,8,-1.861512,1,-1.982835,0.559974
5,9,-1.982835,1,-2.072013,0.461301
5,10,-2.072013,1,-2.139810,0.385528
5,11,-2.139810,1,-2.193613,0.329445
5,12,-2.193613,0,-1.985259,0.417042
5,13,-1.985259,1,-2.040188,0.333173
5,14,-2.040188,1,-2.079812,0.268858
5,15,-2.079812,1,-2.109718,0.220459
5,16,-2.109718,1,-2.133342,0.184273
5,17,-2.133342,0,-2.038438,0.261389
5,18,-2.038438,1,-2.065140,0.210565
5,19,-2.065140,1,-2.085440,0.172462
5,20,-2.085440,1,-2.101578,0.143625
5,21,-2.101578,0,-2.037453,0.209731
5,22,-2.037453,0,-1.940388,0.330903
5,23,-1.940388,1,-1.975623,0.260251
5,24,-1.975623,1,-2.000181,0.207752
5,25,-2.000181,1,-2.018231,0.167680
5,26,-2.018231,1,-2.032133,0.137592
5,27,-2.032133,0,-1.977419,0.209001
5,28,-1.977419,1,-1.995010,0.168251
5,29,-1.995010,0,-1.930897,0.260993
5,30,-1.930897,1,-1.954416,0.206584
5,31,-1.954416,1,-1.971295,0.165357
5,32,-1.971295,1,-1.984038,0.134588
5,33,-1.984038,0,-1.933631,0.209160
5,34,-1.933631,1,-1.950427,0.167011
5,35,-1.950427,1,-1.962993,0.135558
5,36,-1.962993,1,-1.972864,0.111696
5,37,-1.972864,1,-1.980945,0.093838
5,38,-1.980945,1,-1.987815,0.080630
5,39,-1.987815,1,-1.993844,0.070945
5,40,-1.993844,0,-1.968324,0.094376
6,1,-1.000000,1,-1.356632,1.241629
6,2,-1.356632,1,-1.677173,1.147428
6,3,-1.677173,1,-1.955802,1.037306
6,4,-1.955802,1,-2.194634,0.924403
6,5,-2.194634,0,-1.371991,0.887522
6,6,-1.371991,1,-1.566999,0.745941
6,7,-1.566999,1,-1.709634,0.617506
6,8,-1.709634,1,-1.814317,0.511488
6,9,-1.814317,1,-1.893180,0.428550
6,10,-1.893180,1,-1.955140,0.366922
6,11,-1.955140,1,-2.006415,0.324192
6,12,-2.006415,1,-2.050492,0.296009
6,13,-2.050492,1,-2.089824,0.279655
6,14,-2.089824,0,-1.946858,0.255040
6,15,-1.946858,1,-1.977570,0.211846
6,16,-1.977570,1,-2.002156,0.179025
6,17,-2.002156,1,-2.022338,0.154164
6,18,-2.022338,1,-2.039412,0.135991
6,19,-2.039412,1,-2.054310,0.123296
6,20,-2.054310,1,-2.067466,0.114550
6,21,-2.067466,1,-2.079553,0.109492
6,22,-2.079553,0,-2.030052,0.106642
6,23,-2.030052,1,-2.041072,0.094847
6,24,-2.041072,1,-2.050799,0.085926
6,25,-2.050799,1,-2.059540,0.079217
6,26,-2.059540,1,-2.067518,0.074185
6,27,-2.067518,0,-2.034621,0.081277
6,28,-2.034621,0,-1.997070,0.100906
6,29,-1.997070,1,-2.006555,0.088533
6,30,-2.006555,1,-2.014845,0.079149
6,31,-2.014845,1,-2.022139,0.071840
6,32,-2.022139,0,-1.991314,0.087036
6,33,-1.991314,0,-1.954677,0.115787
6,34,-1.954677,1,-1.964819,0.098513
6,35,-1.964819,0,-1.923016,0.138899
6,36,-1.923016,0,-1.863078,0.210617
6,37,-1.863078,1,-1.882648,0.169872
6,38,-1.882648,1,-1.897524,0.139000
6,39,-1.897524,1,-1.909320,0.115916
6,40,-1.909320,1,-1.919002,0.098334
7,1,-1.000000,1,-1.356632,1.241629
7,2,-1.356632,1,-1.677173,1.147428
7,3,-1.677173,1,-1.955802,1.037306
7,4,-1.955802,1,-2.194634,0.924403
7,5,-2.194634,1,-2.397219,0.814421
